File name,Radar name,Frequency,PRT,PRF,Pulsewidth,Receiving time,Dead time,Peak Power,Average Power,Instrumented Range,Range Resolution,Accuracy,Beamwidth,Hits per scan,Antenna Rotation,MTBCF,MTTR
karte001.en.html,AN/FPS-50,425 MHz,,27 Hz,2 ms,,,10 MW [1],,5 000 km,,,,,(fixed torus antenna),,
karte002.en.html,AN/FPS-85,442 MHz,,20 Hz,"1,5,10,25,125 & 250 µs",,,30 MW,10 kW,3 000 km,,,,,,,
karte003.en.html,AN/FPS-108 “Cobra Dane”,"1 175 … 1 375 MHz
	(L-Band)",,,1 or 2 ms,,,16 MW,1 MW,"46,000 km",,,0.6˚,,,,
karte004.en.html,AN/FPS-115 “Pave Paws”,420 … 450 MHz,,0.02 … 20 Hz,250 … 16 000 µs,> 38 ms,,600 kW (per face),150 kW,3 000 NM (4 800 km),,,2.2 degrees,,,
karte005.en.html,ALTAIR,"155 … 162, 422 MHz",,300 Hz,80 μsec,,,5 MW,120 kW,,20 m,,"1.1° (UHF)
	2.8° (VHF)",,,
karte006.en.html,AN/TPS-71 (ROTHR),5 … 28 MHz,,,,,,200 kW,,926 … 2 963 km,,,,,,
karte007.en.html,77YA6 «Voronezh-M»,150 … 200 MHz,,,,,,,,100 … 4 200 km,,,,,,
karte008.en.html,AN/FPS-16,5 400 … 5 900 MHz,,"160, 320, 640 Hz","0.25, 0.5, 1 µs",,,1 MW,,"500 … 8 000 000 Yards
	(≙ 450 m … 7 300 km)",,"±30 ft, ±0.1 mil",1.2°,,,
karte009.en.html,AN/FPS-118,"5 … 28 MHz
	(HF-Band)",,,,,,,1 MW,1 800 NM (≙ 3 333 km),,,Tx: 7.5°; Rx: 2.5°,,,,
karte010.en.html,ELM-2270 OTH,HF-Band,,,,,,,,200 NM (≙ 370 km),3 km,2 km,,,,,
karte011.en.html,SWR-503 (HFSWR),"3 … 5 MHz
	(HF-Band)",,250 Hz,,,,16 kW,1.6 kW,200 NM (≙ 370 km),,,,,,,
karte012.en.html,29B6 «Container»,"3 … 30 MHz
	(HF-Band)",,50 Hz,,,,,,3 000 km,,,,,,,
karte013.en.html,AN/FPS-80,UHF-Band,,,,,,,,,,,,,,,
karte014.en.html,OTH-Radar “Telets”,"3.5 … 15 MHz
	(HF-Band)",,,,,,,,250 km,,,,,,,
karte015.en.html,LD-JHC 300,HF-Band,,,,,,,,300 NM (≙ 555 km),,,,,,,
karte016.en.html,TIRA,,"1 333 MHz
	(L-Band)",,30 Hz,l ms,,,1.6 MW,,,,,0.45°,,4 rpm,,
karte017.en.html,AN/FPS-95 “Cobra Mist”,"6 … 40 MHz
	(HF-Band)",,10 … 160 Hz,250 … 6 000 µs,,,3.5 MW,300 kW,500 … 2 000 NM(≙ 920 … 3 700 km),,,7°,,,,
karte018.en.html,“Cobra King”,S-Band,,,,,,,,,,,,,,,
karte019.en.html,LOTHAR-FATT,"7 … 28 MHz
	(HF-Band)",,,,,,,,2 000 NM(≙ 3 700 km),,,1°,,,,
karte020.en.html,Nostradamus,"3 … 30 MHz
	(HF-Band)",,,,,,,,800 … 3 000 km,,,,,,,
karte021.en.html,AN/FPS-129,"9.5 … 10.5 GHz
	(X-Band)",,,,,,200 kW,,25 000 NM(≙ 40 000 km),,,< 0.1°,,,,
karte001.en.html,AN/FPS-88,1280 - 1380 MHz,,360 Hz,,,,1 MW,1.1 kW,,,,1.3°,,5 and 10 r.p.m.,,
karte002.en.html,AN/TPS-75,2.9 … 3.1 GHz,,235 … 275 Hz,6.8 ±0.25 µs,,,2.8 MW,4.7 kW,240 NM,,,1.1°,,6.5 r.p.m.,> 1 500 h,
karte003.en.html,HADR,F-Band,4 ms,60 - 1430 Hz,96 / 36 µs,< 3 ms,approx. 50 µs,> 1.5 MW,< 32 kW,240 NM,450 ft,,1.1° - 1.7°,1 - 8,5 rpm,,
karte004.en.html,“Lanza”,1215 - 1400 MHz,,,10 - 200 µs,,,53.5 kW,5.3 kW,250 NM,450 ft,,β=1.4°   ε=2°,1 … 4,10 s,,
karte005.en.html,Master-T,S-Band,,,,,,,,240 NM,45 ft,,,,10 seconds,,
karte006.en.html,RAT-31SL,S-Band,,(staggered),,,,155 kW,,250 NM,,,"1,5° (1,3°)",1 to 3;,10 s,,
karte007.en.html,AN/FPS-117 “Seek Igloo” (RRP-117),1215 - 1400 MHz,0.9 - 4 ms,250 / 1100 Hz,100 / 800 µs,"0,6 / 3 ms",ca 200 µs,20 kW,,bis 463 km,,,"β:3,4°, ε:2,7°",1 … 3,12 s or 10 s,,
karte008.en.html,Martello S 723,"D-Band
(former called 
	L-Band)",,255 Hertzes,,,,132 kW,5 kW,270 NM,,,1.6 Degrees,1 to 4,10 Seconds,,
karte009.en.html,Martello S 743,D-Band,,,,,,,,,,,,,,,
karte010.en.html,TRD-1211,"D-Band
(former called
	L-Band)",2857 µs,350 Hz,20 µs,,,1.2 MW,9 kW,350 km,100 m,,2.8 degrees,,10 s,,
karte011.en.html,TRS-2215,E/F-Band,,380 Hz (average),3·13 µs (pulse-compressed: 0.2 µs),,,700 kW,10 kW,335 NM,,,β 1.5° (ε 1.3° - 3.6°),,10 seconds,,
karte012.en.html,RAT-31 DL/M,"D-Band
(former L-Band)",,,,,,84 kW,,270 NM,,,,1 to 3,10 s,,
karte013.en.html,Protivnik-GE,D-Band (former L-Band),,,"ca. 64 µs 
(Pulse compression)",,,,,270 NM,,,,1 to 3,5 and 10 seconds,,
karte014.en.html,AN/TPS-79,"2.7 … 2.9 GHz
	(S-Band)",,staggered,5 µs und 120 µs,,,11 (or 21) kW,,60 (or 80) NM,,,,1 to 4,6 and 12.5 r.p.m.,> 1 300 h,
